trial,strategy,payload_length,returncode,signal,crashed,backtrace_path
0,boundary,255,0,,False,
1,boundary,252,0,,False,
2,boundary,268,-11,11,True,backtraces/4b_trialboundary_2_len268.txt
3,boundary,258,0,,False,
4,boundary,254,0,,False,
5,boundary,253,0,,False,
6,boundary,235,0,,False,
7,boundary,258,0,,False,
8,boundary,270,-11,11,True,backtraces/4b_trialboundary_8_len270.txt
9,boundary,244,0,,False,
10,boundary,260,0,,False,
11,boundary,274,-11,11,True,backtraces/4b_trialboundary_11_len274.txt
12,boundary,253,0,,False,
13,boundary,267,-11,11,True,backtraces/4b_trialboundary_13_len267.txt
14,boundary,258,0,,False,
15,boundary,301,-11,11,True,backtraces/4b_trialboundary_15_len301.txt
16,boundary,285,-11,11,True,backtraces/4b_trialboundary_16_len285.txt
17,boundary,282,-11,11,True,backtraces/4b_trialboundary_17_len282.txt
18,boundary,254,0,,False,
19,boundary,274,-11,11,True,backtraces/4b_trialboundary_19_len274.txt
20,boundary,261,0,,False,
21,boundary,269,-11,11,True,backtraces/4b_trialboundary_21_len269.txt
22,boundary,255,0,,False,
23,boundary,266,-11,11,True,backtraces/4b_trialboundary_23_len266.txt
24,boundary,252,0,,False,
25,boundary,268,-11,11,True,backtraces/4b_trialboundary_25_len268.txt
26,boundary,291,-11,11,True,backtraces/4b_trialboundary_26_len291.txt
27,boundary,243,0,,False,
28,boundary,244,0,,False,
29,boundary,272,-11,11,True,backtraces/4b_trialboundary_29_len272.txt
30,boundary,276,-11,11,True,backtraces/4b_trialboundary_30_len276.txt
31,boundary,258,0,,False,
32,boundary,273,-11,11,True,backtraces/4b_trialboundary_32_len273.txt
33,boundary,270,-11,11,True,backtraces/4b_trialboundary_33_len270.txt
34,boundary,272,-11,11,True,backtraces/4b_trialboundary_34_len272.txt
35,boundary,285,-11,11,True,backtraces/4b_trialboundary_35_len285.txt
36,boundary,254,0,,False,
37,boundary,274,-11,11,True,backtraces/4b_trialboundary_37_len274.txt
38,boundary,267,-11,11,True,backtraces/4b_trialboundary_38_len267.txt
39,boundary,254,0,,False,
40,boundary,272,-11,11,True,backtraces/4b_trialboundary_40_len272.txt
41,boundary,244,0,,False,
42,boundary,241,0,,False,
43,boundary,280,-11,11,True,backtraces/4b_trialboundary_43_len280.txt
44,boundary,247,0,,False,
45,boundary,290,-11,11,True,backtraces/4b_trialboundary_45_len290.txt
46,boundary,280,-11,11,True,backtraces/4b_trialboundary_46_len280.txt
47,boundary,256,0,,False,
48,boundary,251,0,,False,
49,boundary,230,0,,False,
50,boundary,263,0,,False,
51,boundary,239,0,,False,
52,boundary,288,-11,11,True,backtraces/4b_trialboundary_52_len288.txt
53,boundary,238,0,,False,
54,boundary,265,-11,11,True,backtraces/4b_trialboundary_54_len265.txt
55,boundary,222,0,,False,
56,boundary,259,0,,False,
57,boundary,284,-11,11,True,backtraces/4b_trialboundary_57_len284.txt
58,boundary,257,0,,False,
59,boundary,251,0,,False,
60,boundary,257,0,,False,
61,boundary,270,-11,11,True,backtraces/4b_trialboundary_61_len270.txt
62,boundary,278,-11,11,True,backtraces/4b_trialboundary_62_len278.txt
63,boundary,260,0,,False,
64,boundary,233,0,,False,
65,boundary,269,-11,11,True,backtraces/4b_trialboundary_65_len269.txt
66,boundary,279,-11,11,True,backtraces/4b_trialboundary_66_len279.txt
67,boundary,299,-11,11,True,backtraces/4b_trialboundary_67_len299.txt
68,boundary,266,-11,11,True,backtraces/4b_trialboundary_68_len266.txt
69,boundary,267,-11,11,True,backtraces/4b_trialboundary_69_len267.txt
70,boundary,256,0,,False,
71,boundary,275,-11,11,True,backtraces/4b_trialboundary_71_len275.txt
72,boundary,291,-11,11,True,backtraces/4b_trialboundary_72_len291.txt
73,boundary,249,0,,False,
74,boundary,265,-11,11,True,backtraces/4b_trialboundary_74_len265.txt
75,boundary,248,0,,False,
76,boundary,253,0,,False,
77,boundary,261,0,,False,
78,boundary,271,-11,11,True,backtraces/4b_trialboundary_78_len271.txt
79,boundary,251,0,,False,
