trial,strategy,payload_length,returncode,signal,crashed,backtrace_path
0,boundary,262,0,,False,
1,boundary,292,-11,11,True,backtraces/4b_trialboundary_1_len292.txt
2,boundary,252,0,,False,
3,boundary,273,-11,11,True,backtraces/4b_trialboundary_3_len273.txt
4,boundary,256,0,,False,
5,boundary,257,0,,False,
6,boundary,282,-11,11,True,backtraces/4b_trialboundary_6_len282.txt
7,boundary,265,-11,11,True,backtraces/4b_trialboundary_7_len265.txt
8,boundary,242,0,,False,
9,boundary,264,-7,7,False,
10,boundary,243,0,,False,
11,boundary,273,-11,11,True,backtraces/4b_trialboundary_11_len273.txt
12,boundary,263,0,,False,
13,boundary,253,0,,False,
14,boundary,247,0,,False,
15,boundary,265,-11,11,True,backtraces/4b_trialboundary_15_len265.txt
16,boundary,266,-11,11,True,backtraces/4b_trialboundary_16_len266.txt
17,boundary,279,-11,11,True,backtraces/4b_trialboundary_17_len279.txt
18,boundary,234,0,,False,
19,boundary,252,0,,False,
20,boundary,274,-11,11,True,backtraces/4b_trialboundary_20_len274.txt
21,boundary,258,0,,False,
22,boundary,261,0,,False,
23,boundary,260,0,,False,
24,boundary,280,-11,11,True,backtraces/4b_trialboundary_24_len280.txt
25,boundary,272,-11,11,True,backtraces/4b_trialboundary_25_len272.txt
26,boundary,270,-11,11,True,backtraces/4b_trialboundary_26_len270.txt
27,boundary,258,0,,False,
28,boundary,267,-11,11,True,backtraces/4b_trialboundary_28_len267.txt
29,boundary,233,0,,False,
30,boundary,255,0,,False,
31,boundary,285,-11,11,True,backtraces/4b_trialboundary_31_len285.txt
32,boundary,272,-11,11,True,backtraces/4b_trialboundary_32_len272.txt
33,boundary,252,0,,False,
34,boundary,257,0,,False,
35,boundary,241,0,,False,
36,boundary,240,0,,False,
37,boundary,247,0,,False,
38,boundary,294,-11,11,True,backtraces/4b_trialboundary_38_len294.txt
39,boundary,241,0,,False,
40,boundary,256,0,,False,
41,boundary,260,0,,False,
42,boundary,264,-7,7,False,
43,boundary,275,-11,11,True,backtraces/4b_trialboundary_43_len275.txt
44,boundary,241,0,,False,
45,boundary,253,0,,False,
46,boundary,285,-11,11,True,backtraces/4b_trialboundary_46_len285.txt
47,boundary,271,-11,11,True,backtraces/4b_trialboundary_47_len271.txt
48,boundary,261,0,,False,
49,boundary,250,0,,False,
50,boundary,255,0,,False,
51,boundary,263,0,,False,
52,boundary,263,0,,False,
53,boundary,260,0,,False,
54,boundary,291,-11,11,True,backtraces/4b_trialboundary_54_len291.txt
55,boundary,261,0,,False,
56,boundary,256,0,,False,
57,boundary,255,0,,False,
58,boundary,296,-11,11,True,backtraces/4b_trialboundary_58_len296.txt
59,boundary,244,0,,False,
60,boundary,281,-11,11,True,backtraces/4b_trialboundary_60_len281.txt
61,boundary,284,-11,11,True,backtraces/4b_trialboundary_61_len284.txt
62,boundary,276,-11,11,True,backtraces/4b_trialboundary_62_len276.txt
63,boundary,246,0,,False,
64,boundary,259,0,,False,
65,boundary,249,0,,False,
66,boundary,300,-11,11,True,backtraces/4b_trialboundary_66_len300.txt
67,boundary,246,0,,False,
68,boundary,244,0,,False,
69,boundary,282,-11,11,True,backtraces/4b_trialboundary_69_len282.txt
70,boundary,256,0,,False,
71,boundary,268,-11,11,True,backtraces/4b_trialboundary_71_len268.txt
72,boundary,260,0,,False,
73,boundary,271,-11,11,True,backtraces/4b_trialboundary_73_len271.txt
74,boundary,296,-11,11,True,backtraces/4b_trialboundary_74_len296.txt
75,boundary,243,0,,False,
76,boundary,279,-11,11,True,backtraces/4b_trialboundary_76_len279.txt
77,boundary,278,-11,11,True,backtraces/4b_trialboundary_77_len278.txt
78,boundary,258,0,,False,
79,boundary,268,-11,11,True,backtraces/4b_trialboundary_79_len268.txt
80,boundary,261,0,,False,
81,boundary,275,-11,11,True,backtraces/4b_trialboundary_81_len275.txt
82,boundary,264,-7,7,False,
83,boundary,263,0,,False,
84,boundary,270,-11,11,True,backtraces/4b_trialboundary_84_len270.txt
85,boundary,279,-11,11,True,backtraces/4b_trialboundary_85_len279.txt
86,boundary,285,-11,11,True,backtraces/4b_trialboundary_86_len285.txt
87,boundary,267,-11,11,True,backtraces/4b_trialboundary_87_len267.txt
88,boundary,242,0,,False,
89,boundary,246,0,,False,
90,boundary,267,-11,11,True,backtraces/4b_trialboundary_90_len267.txt
91,boundary,276,-11,11,True,backtraces/4b_trialboundary_91_len276.txt
92,boundary,252,0,,False,
93,boundary,261,0,,False,
94,boundary,254,0,,False,
95,boundary,258,0,,False,
96,boundary,253,0,,False,
97,boundary,240,0,,False,
98,boundary,279,-11,11,True,backtraces/4b_trialboundary_98_len279.txt
99,boundary,226,0,,False,
100,boundary,247,0,,False,
101,boundary,259,0,,False,
